obs_id,alt_id,choice,college,hsg2,coml5,vehicle_size,acceleration,price_over_log_income,top_speed,fuel_type,luggage_space,body_type,cents_per_mile,station_availability,range,pollution
1,1,1,0,0,0,3,4.0,4.1753448,95,cng,0.7,van,4,0.1,250,0.6
1,2,0,0,0,0,3,4.0,4.1753448,95,cng,0.7,regcar,4,0.1,250,0.6
1,3,0,0,0,0,2,6.0,4.8177056,110,electric,1.0,van,6,0.3,400,0.25
1,4,0,0,0,0,2,6.0,4.8177056,110,electric,1.0,stwagon,6,0.3,400,0.25
1,5,0,0,0,0,3,2.5,5.1388859,140,gasoline,1.0,van,8,1.0,250,0.5
1,6,0,0,0,0,3,2.5,5.1388859,140,gasoline,1.0,truck,8,1.0,250,0.5
2,1,0,1,1,1,3,2.5,3.3109468,85,methanol,0.7,regcar,4,0.0,125,0.0
2,2,1,1,1,1,3,2.5,3.3109468,85,methanol,0.7,van,4,0.0,125,0.0
2,3,0,1,1,1,3,4.0,3.586859,140,cng,1.0,regcar,8,0.1,300,0.4
2,4,0,1,1,1,3,4.0,3.586859,140,cng,1.0,stwagon,8,0.1,300,0.4
2,5,0,1,1,1,2,6.0,4.4145957,95,gasoline,1.0,regcar,4,1.0,300,0.25
2,6,0,1,1,1,2,6.0,4.4145957,95,gasoline,1.0,truck,4,1.0,300,0.25
3,1,0,0,1,0,2,6.0,4.0395745,140,cng,1.0,regcar,6,0.1,300,0.1
3,2,0,0,1,0,2,6.0,4.0395745,140,cng,1.0,truck,6,0.1,300,0.1
3,3,0,0,1,0,3,2.5,2.7772075,85,electric,1.0,regcar,8,0.3,250,0.4
3,4,0,0,1,0,3,2.5,2.7772075,85,electric,1.0,van,8,0.3,250,0.4
3,5,1,0,1,0,3,4.0,3.2821543,95,gasoline,1.0,regcar,2,1.0,300,0.75
3,6,0,0,1,0,3,4.0,3.2821543,95,gasoline,1.0,stwagon,2,1.0,300,0.75
4,1,0,0,0,1,2,4.0,7.0659681,100,methanol,1.0,regcar,8,0.0,200,0.0
4,2,0,0,0,1,2,4.0,7.0659681,100,methanol,1.0,truck,8,0.0,200,0.0
4,3,0,0,0,1,3,6.0,7.3871485,85,cng,0.7,regcar,2,0.7,75,0.25
4,4,0,0,0,1,3,6.0,7.3871485,85,cng,0.7,van,2,0.7,75,0.25
4,5,1,0,0,1,3,2.5,5.4600663,95,electric,1.0,regcar,4,0.1,300,0.6
4,6,0,0,0,1,3,2.5,5.4600663,95,electric,1.0,stwagon,4,0.1,300,0.6
5,1,0,0,1,0,1,4.0,5.7941569,85,cng,0.7,regcar,6,0.3,75,0.1
5,2,0,0,1,0,1,4.0,5.7941569,85,cng,0.7,truck,6,0.3,75,0.1
5,3,0,0,1,0,2,6.0,6.3459814,95,electric,1.0,regcar,8,0.7,300,0.4
5,4,0,0,1,0,2,6.0,6.3459814,95,electric,1.0,van,8,0.7,300,0.4
5,5,1,0,1,0,3,2.5,4.690508,110,gasoline,1.0,regcar,2,1.0,350,0.75
5,6,0,0,1,0,3,2.5,4.690508,110,gasoline,1.0,stwagon,2,1.0,350,0.75
6,1,0,0,0,0,3,6.0,3.5329841,85,cng,1.0,truck,6,0.1,300,0.6
6,2,0,0,0,0,3,6.0,3.5329841,85,cng,1.0,regcar,6,0.1,300,0.6
6,3,0,0,0,0,2,2.5,4.1753448,95,electric,1.0,truck,8,0.3,250,0.25
6,4,0,0,0,0,2,2.5,4.1753448,95,electric,1.0,van,8,0.3,250,0.25
6,5,1,0,0,0,3,4.0,4.8177056,110,gasoline,1.0,truck,2,1.0,300,0.5
6,6,0,0,0,0,3,4.0,4.8177056,110,gasoline,1.0,stwagon,2,1.0,300,0.5
7,1,0,1,1,1,2,6.0,1.9270822,100,methanol,1.0,regcar,8,0.0,125,0.0
7,2,1,1,1,1,2,6.0,1.9270822,100,methanol,1.0,van,8,0.0,125,0.0
7,3,0,1,1,1,3,2.5,0.96354111,85,cng,0.7,regcar,4,0.7,300,0.25
7,4,0,1,1,1,3,2.5,0.96354111,85,cng,0.7,stwagon,4,0.7,300,0.25
7,5,0,1,1,1,3,4.0,1.4453117,110,gasoline,1.0,regcar,8,1.0,300,1.0
7,6,0,1,1,1,3,4.0,1.4453117,110,gasoline,1.0,truck,8,1.0,300,1.0
8,1,0,1,0,1,3,6.0,6.0700691,85,methanol,1.0,regcar,1,0.0,125,0.0
8,2,0,1,0,1,3,6.0,6.0700691,85,methanol,1.0,van,1,0.0,125,0.0
8,3,0,1,0,1,3,2.5,6.3459814,140,cng,0.7,regcar,4,0.7,300,0.4
