obs_id,alt_id,choice,college,hsg2,coml5,vehicle_size,acceleration,price_over_log_income,top_speed,fuel_type,luggage_space,body_type,cents_per_mile,station_availability,range,pollution,big_enough,sports_utility_vehicle,sports_car,station_wagon,truck,van,electric,compressed_natural_gas,methanol,electric_commute_lte_5mi,electric_and_college,methanol_and_college,range_over_100,acceleration_over_10,top_speed_over_100,vehicle_size_over_10,tens_of_cents_per_mile,neg_price_over_log_income,neg_acceleration_over_10,neg_pollution,neg_tens_of_cents_per_mile
1,1,1,0,0,0,3,4.0,4.1753448,95,cng,0.7,van,4,0.1,250,0.6,0,0,0,0,0,1,0,1,0,0,0,0,2.5,0.4,0.95,0.3,0.4,-4.1753448,-0.4,-0.6,-0.4
1,2,0,0,0,0,3,4.0,4.1753448,95,cng,0.7,regcar,4,0.1,250,0.6,0,0,0,0,0,0,0,1,0,0,0,0,2.5,0.4,0.95,0.3,0.4,-4.1753448,-0.4,-0.6,-0.4
1,3,0,0,0,0,2,6.0,4.8177056,110,methanol,1.0,van,6,0.3,400,0.25,0,0,0,0,0,1,0,0,1,0,0,0,4.0,0.6,1.1,0.2,0.6,-4.8177056,-0.6,-0.25,-0.6
1,4,0,0,0,0,2,6.0,4.8177056,110,methanol,1.0,stwagon,6,0.3,400,0.25,0,0,0,1,0,0,0,0,1,0,0,0,4.0,0.6,1.1,0.2,0.6,-4.8177056,-0.6,-0.25,-0.6
1,5,0,0,0,0,3,2.5,5.1388859,140,gasoline,1.0,van,8,1.0,250,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2.5,0.25,1.4,0.3,0.8,-5.1388859,-0.25,-0.5,-0.8
1,6,0,0,0,0,3,2.5,5.1388859,140,gasoline,1.0,truck,8,1.0,250,0.5,0,0,0,0,1,0,0,0,0,0,0,0,2.5,0.25,1.4,0.3,0.8,-5.1388859,-0.25,-0.5,-0.8
2,1,0,1,1,1,3,2.5,3.3109468,85,electric,0.7,regcar,4,0.0,125,0.0,1,0,0,0,0,0,1,0,0,1,1,0,1.25,0.25,0.85,0.3,0.4,-3.3109468,-0.25,-0.0,-0.4
2,2,1,1,1,1,3,2.5,3.3109468,85,electric,0.7,van,4,0.0,125,0.0,1,0,0,0,0,1,1,0,0,1,1,0,1.25,0.25,0.85,0.3,0.4,-3.3109468,-0.25,-0.0,-0.4
2,3,0,1,1,1,3,4.0,3.586859,140,cng,1.0,regcar,8,0.1,300,0.4,1,0,0,0,0,0,0,1,0,0,0,0,3.0,0.4,1.4,0.3,0.8,-3.586859,-0.4,-0.4,-0.8
2,4,0,1,1,1,3,4.0,3.586859,140,cng,1.0,stwagon,8,0.1,300,0.4,1,0,0,1,0,0,0,1,0,0,0,0,3.0,0.4,1.4,0.3,0.8,-3.586859,-0.4,-0.4,-0.8
2,5,0,1,1,1,2,6.0,4.4145957,95,gasoline,1.0,regcar,4,1.0,300,0.25,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.6,0.95,0.2,0.4,-4.4145957,-0.6,-0.25,-0.4
2,6,0,1,1,1,2,6.0,4.4145957,95,gasoline,1.0,truck,4,1.0,300,0.25,0,0,0,0,1,0,0,0,0,0,0,0,3.0,0.6,0.95,0.2,0.4,-4.4145957,-0.6,-0.25,-0.4
3,1,0,0,1,0,2,6.0,4.0395745,140,cng,1.0,regcar,6,0.1,300,0.1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0.6,1.4,0.2,0.6,-4.0395745,-0.6,-0.1,-0.6
3,2,0,0,1,0,2,6.0,4.0395745,140,cng,1.0,truck,6,0.1,300,0.1,0,0,0,0,1,0,0,1,0,0,0,0,3.0,0.6,1.4,0.2,0.6,-4.0395745,-0.6,-0.1,-0.6
3,3,0,0,1,0,3,2.5,2.7772075,85,methanol,1.0,regcar,8,0.3,250,0.4,1,0,0,0,0,0,0,0,1,0,0,0,2.5,0.25,0.85,0.3,0.8,-2.7772075,-0.25,-0.4,-0.8
3,4,0,0,1,0,3,2.5,2.7772075,85,methanol,1.0,van,8,0.3,250,0.4,1,0,0,0,0,1,0,0,1,0,0,0,2.5,0.25,0.85,0.3,0.8,-2.7772075,-0.25,-0.4,-0.8
3,5,1,0,1,0,3,4.0,3.2821543,95,gasoline,1.0,regcar,2,1.0,300,0.75,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.4,0.95,0.3,0.2,-3.2821543,-0.4,-0.75,-0.2
3,6,0,0,1,0,3,4.0,3.2821543,95,gasoline,1.0,stwagon,2,1.0,300,0.75,1,0,0,1,0,0,0,0,0,0,0,0,3.0,0.4,0.95,0.3,0.2,-3.2821543,-0.4,-0.75,-0.2
4,1,0,0,0,1,2,4.0,7.0659681,100,electric,1.0,regcar,8,0.0,200,0.0,0,0,0,0,0,0,1,0,0,1,0,0,2.0,0.4,1.0,0.2,0.8,-7.0659681,-0.4,-0.0,-0.8
4,2,0,0,0,1,2,4.0,7.0659681,100,electric,1.0,truck,8,0.0,200,0.0,0,0,0,0,1,0,1,0,0,1,0,0,2.0,0.4,1.0,0.2,0.8,-7.0659681,-0.4,-0.0,-0.8
4,3,0,0,0,1,3,6.0,7.3871485,85,cng,0.7,regcar,2,0.7,75,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0.75,0.6,0.85,0.3,0.2,-7.3871485,-0.6,-0.25,-0.2
4,4,0,0,0,1,3,6.0,7.3871485,85,cng,0.7,van,2,0.7,75,0.25,0,0,0,0,0,1,0,1,0,0,0,0,0.75,0.6,0.85,0.3,0.2,-7.3871485,-0.6,-0.25,-0.2
4,5,1,0,0,1,3,2.5,5.4600663,95,methanol,1.0,regcar,4,0.1,300,0.6,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0.25,0.95,0.3,0.4,-5.4600663,-0.25,-0.6,-0.4
