personID,gender,age,purpose,income,classTicket,payment,AA_FFP,CO_FFP,DL_FFP,B6_FFP,WN_FFP,UA_FFP,US_FFP,a1aircraft,a1departMAM,a1connections,a1travtime,a1arriveMAM,a1timediff,a1performance,a1fare,a1airline,a2aircraft,a2departMAM,a2connections,a2travtime,a2arriveMAM,a2timediff,a2performance,a2fare,a2airline,a1_AV,a2_AV,choice,choiceSituationID
1,1,5,1,10,3,1,1,1,1,1,1,1,1,3,40,0,980,960,60,60,1050,6,4,185,0,895,1020,120,60,450,2,1,1,1,1
1,1,5,1,10,3,1,1,1,1,1,1,1,1,4,1355,2,1045,900,0,90,900,6,4,1415,1,985,900,0,90,1050,7,1,1,1,2
1,1,5,1,10,3,1,1,1,1,1,1,1,1,4,1415,1,985,900,0,70,900,7,3,100,0,980,1020,120,60,600,2,1,1,2,3
1,1,5,1,10,3,1,1,1,1,1,1,1,1,4,1275,0,1065,840,-60,90,600,2,3,60,2,960,960,60,80,600,6,1,1,1,4
1,1,5,1,10,3,1,1,1,1,1,1,1,1,3,40,0,980,960,60,80,1050,7,3,1270,2,1130,900,0,90,900,7,1,1,2,5
1,1,5,1,10,3,1,1,1,1,1,1,1,1,3,180,1,900,1020,120,80,450,8,4,1305,1,1155,960,60,80,450,6,1,1,1,6
1,1,5,1,10,3,1,1,1,1,1,1,1,1,3,120,2,960,1020,120,60,450,2,3,90,0,810,840,-60,70,900,8,1,1,1,7
1,1,5,1,10,3,1,1,1,1,1,1,1,1,4,1275,0,1065,840,-60,70,600,8,4,1275,0,1065,840,-60,70,1050,8,1,1,1,8
2,2,6,3,6,1,1,1,1,1,1,1,1,1,3,870,0,200,1070,120,70,400,1,3,810,0,200,1010,60,60,600,3,1,1,1,9
2,2,6,3,6,1,1,1,1,1,1,1,1,1,2,765,0,185,950,0,80,700,8,2,795,1,275,1070,120,80,700,4,1,1,2,10
2,2,6,3,6,1,1,1,1,1,1,1,1,1,3,690,1,320,1010,60,70,600,8,2,765,0,185,950,0,70,300,1,1,1,2,11
2,2,6,3,6,1,1,1,1,1,1,1,1,1,2,585,1,305,890,-60,60,300,3,2,795,0,215,1010,60,60,700,3,1,1,1,12
2,2,6,3,6,1,1,1,1,1,1,1,1,1,2,765,0,185,950,0,60,700,4,3,720,0,230,950,0,70,400,1,1,1,2,13
2,2,6,3,6,1,1,1,1,1,1,1,1,1,3,690,1,320,1010,60,90,600,4,3,750,1,320,1070,120,80,600,4,1,1,1,14
2,2,6,3,6,1,1,1,1,1,1,1,1,1,2,585,1,305,890,-60,80,300,1,3,600,1,290,890,-60,90,400,8,1,1,1,15
2,2,6,3,6,1,1,1,1,1,1,1,1,1,3,870,0,200,1070,120,90,400,3,2,585,1,305,890,-60,90,300,8,1,1,1,16
3,2,3,3,9,1,1,1,1,1,1,3,1,1,3,460,1,255,715,0,70,225,8,1,510,1,265,775,60,60,525,1,1,1,1,17
